method,h,pred_M,true_M,err_M,err_pct,share_of_true_pct
random_forest__per_dy__log1p__include_zeros,6,0.21025944728683235,17.99960347,-17.789344022713166,-98.83186622617951,4.956941369764444
random_forest__per_dy__log1p__include_zeros,7,6.509767694403013e-05,4.6924157,-4.692350602323057,-99.99861270439139,1.2922523291265695
random_forest__per_dy__log1p__include_zeros,8,1.345637215389199e-05,6.080143,-6.080129543627846,-99.99977868329489,1.6744209071614453
random_forest__per_dy__log1p__include_zeros,9,0.0,0.62578486,-0.62578486,-100.0,0.1723359554157029
chain_ladder,1,301.370429593039,140.46061414,160.909815453039,114.55867286231347,38.68168708347032
chain_ladder,2,157.15767311352042,46.64537425,110.51229886352041,236.92016762738356,12.845748836264233
chain_ladder,3,95.7951502597625,42.86738251,52.927767749762495,123.46862497941328,11.805321274521154
chain_ladder,4,60.673374954274536,52.07004183,8.603333124274537,16.52261611842561,14.339657254265731
chain_ladder,5,38.1238027076397,51.6777923,-13.553989592360303,-26.22788046686798,14.231634990010392
chain_ladder,6,18.183703859924375,17.99960347,0.18410038992437722,1.0228024757946361,4.956941369764444
chain_ladder,7,2.628488084889591,4.6924157,-2.0639276151104093,-43.98433018435279,1.2922523291265695
chain_ladder,8,0.9366241446747183,6.080143,-5.143518855325282,-84.59535993356212,1.6744209071614453
chain_ladder,9,0.1506225936101079,0.62578486,-0.47516226638989206,-75.93061078369523,0.1723359554157029
random_forest__single_model__log1p__two_stage,1,152.5104389592948,140.46061414,12.04982481929481,8.57879263384432,38.68168708347032
random_forest__single_model__log1p__two_stage,2,124.87168719153492,46.64537425,78.22631294153493,167.70433124252384,12.845748836264233
random_forest__single_model__log1p__two_stage,3,111.65043599888331,42.86738251,68.78305348888331,160.45545461712706,11.805321274521154
random_forest__single_model__log1p__two_stage,4,105.45133608729927,52.07004183,53.381294257299274,102.5182473092307,14.339657254265731
random_forest__single_model__log1p__two_stage,5,99.53011041166684,51.6777923,47.85231811166685,92.59745043649406,14.231634990010392
random_forest__single_model__log1p__two_stage,6,95.21436276575197,17.99960347,77.21475929575197,428.98033517486135,4.956941369764444
random_forest__single_model__log1p__two_stage,7,90.32605695372136,4.6924157,85.63364125372135,1824.937233368334,1.2922523291265695
random_forest__single_model__log1p__two_stage,8,82.39470288637622,6.080143,76.31455988637622,1255.1441616813324,1.6744209071614453
random_forest__single_model__log1p__two_stage,9,63.70498273929931,0.62578486,63.079197879299315,10080.013421753176,0.1723359554157029
random_forest__single_model__raw__two_stage,1,171.11922071760569,140.46061414,30.658606577605696,21.827191035237558,38.68168708347032
random_forest__single_model__raw__two_stage,2,139.31668879921747,46.64537425,92.67131454921746,198.67203562895082,12.845748836264233
random_forest__single_model__raw__two_stage,3,120.85679984848167,42.86738251,77.98941733848166,181.93183901603624,11.805321274521154
random_forest__single_model__raw__two_stage,4,111.75445132622117,52.07004183,59.68440949622117,114.62331774397418,14.339657254265731
random_forest__single_model__raw__two_stage,5,106.49424818837885,51.6777923,54.81645588837884,106.07352491019405,14.231634990010392
random_forest__single_model__raw__two_stage,6,100.89267557577817,17.99960347,82.89307210577817,460.5272124129642,4.956941369764444
random_forest__single_model__raw__two_stage,7,94.02892851892042,4.6924157,89.33651281892043,1903.849073280537,1.2922523291265695
random_forest__single_model__raw__two_stage,8,82.68639882718455,6.080143,76.60625582718454,1259.941679450377,1.6744209071614453
random_forest__single_model__raw__two_stage,9,61.30577489899372,0.62578486,60.679990038993715,9696.621621525603,0.1723359554157029
random_forest__single_model__raw__include_zeros,1,183.3454053479242,140.46061414,42.884791207924216,30.531541863529135,38.68168708347032
random_forest__single_model__raw__include_zeros,2,156.89022379577307,46.64537425,110.24484954577306,236.346800338456,12.845748836264233
random_forest__single_model__raw__include_zeros,3,141.9136778910452,42.86738251,99.04629538104523,231.05281820726972,11.805321274521154
random_forest__single_model__raw__include_zeros,4,131.78548511523616,52.07004183,79.71544328523616,153.09271988967052,14.339657254265731
random_forest__single_model__raw__include_zeros,5,125.43029247564122,51.6777923,73.75250017564123,142.71604279744207,14.231634990010392
random_forest__single_model__raw__include_zeros,6,117.4818850175337,17.99960347,99.4822815475337,552.6915174178207,4.956941369764444
random_forest__single_model__raw__include_zeros,7,106.25529526447471,4.6924157,101.5628795644747,2164.4049900454193,1.2922523291265695
random_forest__single_model__raw__include_zeros,8,87.99613940438796,6.080143,81.91599640438797,1347.2708849839219,1.6744209071614453
random_forest__single_model__raw__include_zeros,9,61.806191041353955,0.62578486,61.18040618135396,9776.587784714697,0.1723359554157029
