name,objective,method,structure,target,zero_handling,arm,total_predicted_reserve,total_true_reserve,total_reserve_error,total_reserve_error_pct,max_ay_error_pct,rmse,mae
lightgbm_poisson__single_model__raw__include_zeros,poisson_lgbm,lightgbm,single_model,raw,include_zeros,none,611181013.7003498,363119152.06,248061861.6403498,68.31417738036613,279.46762008236317,80812.27956829999,4768.08039307203
lightgbm_poisson__single_model__raw__include_zeros,poisson_lgbm,lightgbm,single_model,raw,include_zeros,paper,611181013.7003498,363119152.06,248061861.6403498,68.31417738036613,279.46762008236317,80812.27956829999,4768.08039307203
lightgbm_poisson__single_model__raw__include_zeros,poisson_lgbm,lightgbm,single_model,raw,include_zeros,shift_dy_bs1,634280852.9537772,363119152.06,271161700.8937772,74.67568134466556,295.2188750927759,80948.61522962489,4878.454891922778
lightgbm_poisson__single_model__raw__include_zeros,poisson_lgbm,lightgbm,single_model,raw,include_zeros,shift_global,664116704.9131379,363119152.06,300997552.8531379,82.89222728835921,312.3273451795085,81182.21244325076,5036.2871206157515
lightgbm_poisson__single_model__raw__two_stage,poisson_lgbm,lightgbm,single_model,raw,two_stage,cv_dy,948199509.0004392,363119152.06,585080356.9404392,161.12627318642876,479.83696789872334,83094.91291960295,6608.745631539346
lightgbm_poisson__single_model__raw__two_stage,poisson_lgbm,lightgbm,single_model,raw,two_stage,cv_dy_bs1,842217697.2294617,363119152.06,479098545.16946167,131.93976204546155,422.5900566977997,81043.5466169061,6018.512446407051
lightgbm_poisson__single_model__raw__two_stage,poisson_lgbm,lightgbm,single_model,raw,two_stage,cv_dy_bsmean,855285130.0483698,363119152.06,492165977.98836976,135.53842456292327,429.68985392618856,81231.93462684458,6090.694376648279
lightgbm_poisson__single_model__raw__two_stage,poisson_lgbm,lightgbm,single_model,raw,two_stage,cv_dy_heur,982272373.6336589,363119152.06,619153221.573659,170.50965724643274,499.1790243217224,82986.7373570159,6788.777818491583
lightgbm_poisson__single_model__raw__two_stage,poisson_lgbm,lightgbm,single_model,raw,two_stage,cv_dy_zcv,890829479.799665,363119152.06,527710327.739665,145.32704340873454,447.3914262979659,81649.70509243775,6292.915551908386
lightgbm_poisson__single_model__raw__two_stage,poisson_lgbm,lightgbm,single_model,raw,two_stage,cv_global,867334075.5474873,363119152.06,504214923.48748726,138.8566041276097,438.2772676325773,80468.19455487964,6148.687742735615
lightgbm_poisson__single_model__raw__two_stage,poisson_lgbm,lightgbm,single_model,raw,two_stage,cv_type,871224418.9416873,363119152.06,508105266.88168734,139.9279724022187,432.15408306481197,80814.00726726551,6139.986466111537
lightgbm_poisson__single_model__raw__two_stage,poisson_lgbm,lightgbm,single_model,raw,two_stage,cv_type_bs1,790700655.6324117,363119152.06,427581503.5724117,117.75239646455229,390.7177066235296,80058.38525026849,5752.678677186667
lightgbm_poisson__single_model__raw__two_stage,poisson_lgbm,lightgbm,single_model,raw,two_stage,duan,790700655.6324117,363119152.06,427581503.5724117,117.75239646455229,390.7177066235296,80058.38525026849,5752.678677186667
lightgbm_poisson__single_model__raw__two_stage,poisson_lgbm,lightgbm,single_model,raw,two_stage,insample_global,810532267.8563588,363119152.06,447413115.79635876,123.21385783651269,403.0254278829725,80156.91521803246,5854.853086870758
lightgbm_poisson__single_model__raw__two_stage,poisson_lgbm,lightgbm,single_model,raw,two_stage,iso_global,868115821.6636295,363119152.06,504996669.6036295,139.07189051823585,436.96699983349527,79189.49663790259,6175.135194522298
lightgbm_poisson__single_model__raw__two_stage,poisson_lgbm,lightgbm,single_model,raw,two_stage,none,790700655.6324117,363119152.06,427581503.5724117,117.75239646455229,390.7177066235296,80058.38525026849,5752.678677186667
lightgbm_poisson__single_model__raw__two_stage,poisson_lgbm,lightgbm,single_model,raw,two_stage,paper,790700655.6324117,363119152.06,427581503.5724117,117.75239646455229,390.7177066235296,80058.38525026849,5752.678677186667
lightgbm_poisson__single_model__raw__two_stage,poisson_lgbm,lightgbm,single_model,raw,two_stage,shift_dy_bs1,842234522.7184474,363119152.06,479115370.65844744,131.9443956454494,422.59298579558583,81042.7292953215,6018.589152804408
lightgbm_poisson__single_model__raw__two_stage,poisson_lgbm,lightgbm,single_model,raw,two_stage,shift_global,867343381.0919168,363119152.06,504224229.0319168,138.85916679729448,438.2754646594937,80468.15710502294,6148.746595977695
lightgbm_tweedie__per_dy__raw__include_zeros,tweedie_lgbm,lightgbm,per_dy,raw,include_zeros,cv_dy,524541290.5904893,363119152.06,161422138.53048933,44.45431688599469,228.75436097390036,86990.54234537993,4378.478141007977
lightgbm_tweedie__per_dy__raw__include_zeros,tweedie_lgbm,lightgbm,per_dy,raw,include_zeros,cv_dy_bs1,485473074.2049166,363119152.06,122353922.1449166,33.69525442290618,212.969994682118,84079.59968731596,4159.792698970957
lightgbm_tweedie__per_dy__raw__include_zeros,tweedie_lgbm,lightgbm,per_dy,raw,include_zeros,cv_dy_bsmean,487031561.0034596,363119152.06,123912408.94345957,34.12444874925928,213.86870516189035,84063.55408313785,4166.968577247786
lightgbm_tweedie__per_dy__raw__include_zeros,tweedie_lgbm,lightgbm,per_dy,raw,include_zeros,cv_dy_heur,401708983.32032347,363119152.06,38589831.260323465,10.627319170966524,176.77957606497492,81024.51956444785,3697.8925593584113
lightgbm_tweedie__per_dy__raw__include_zeros,tweedie_lgbm,lightgbm,per_dy,raw,include_zeros,cv_dy_zcv,464240363.54398185,363119152.06,101121211.48398185,27.8479421727866,196.5942856230091,84590.67308635107,4053.199782780436
